category;subcategories;type
"Automotive & Motors";"Automotive Parts,Automotive Tools,Car Electronics,Tires ";"2"
"Automotive Parts";"";"2"
"Automotive Tools";"";"2"
"Car Electronics";"";"2"
"Tires ";"";"2"
"Automotive & Motors";"Automotive Parts,Automotive Tools,Car Electronics,Tires ";"3"
"Automotive Parts";"";"3"
"Automotive Tools";"";"3"
"Car Electronics";"";"3"
"Tires ";"";"3"
"Books";"Books,Children's Books,Textbooks";"2"
"Books";"";"2"
"Children's Books";"";"2"
"Textbooks";"";"2"
"Books";"Books,Children's Books,Textbooks";"3"
"Books";"";"3"
"Children's Books";"";"3"
"Textbooks";"";"3"
"Camera & Photography";"Camera,Photography";"2"
"Camera";"";"2"
"Photography";"";"2"
"Camera & Photography";"Camera,Photography";"3"
"Camera";"";"3"
"Photography";"";"3"
"Electronics";"Cell Phones & Accessories,Computer Parts & Components,Electronics Accessories,Home, Audio & Theater,Software,TV ,Video Games";"2"
"Cell Phones & Accessories";"";"2"
"Computer Parts & Components";"";"2"
"Electronics Accessories";"";"2"
"Home, Audio & Theater";"";"2"
"Software";"";"2"
"TV ";"";"2"
"Video Games";"";"2"
"Electronics";"Cell Phones & Accessories,Computer Parts & Components,Electronics Accessories,Home, Audio & Theater,Software,TV ,Video Games";"3"
"Cell Phones & Accessories";"";"3"
"Computer Parts & Components";"";"3"
"Electronics Accessories";"";"3"
"Home, Audio & Theater";"";"3"
"Software";"";"3"
"TV ";"";"3"
"Video Games";"";"3"
"Fashion";"Kids & Baby,Man,Shoes,Women";"2"
"Kids & Baby";"";"2"
"Man";"";"2"
"Shoes";"";"2"
"Women";"";"2"
"Fashion";"Kids & Baby,Man,Shoes,Women";"3"
"Kids & Baby";"";"3"
"Man";"";"3"
"Shoes";"";"3"
"Women";"";"3"
"Health & Beauty";"Grocery & Gourmet Food,Health & Personal Care,Natural & Organic,Wine";"2"
"Grocery & Gourmet Food";"";"2"
"Health & Personal Care";"";"2"
"Natural & Organic";"";"2"
"Wine";"";"2"
"Health & Beauty";"Grocery & Gourmet Food,Health & Personal Care,Natural & Organic,Wine";"3"
"Grocery & Gourmet Food";"";"3"
"Health & Personal Care";"";"3"
"Natural & Organic";"";"3"
"Wine";"";"3"
"Home & Garden";"Arts, Crafts & Sewing,Bedding & Bath,Furniture & D,Kitchen & Dining,Patio, Lawn & Garden";"2"
"Arts, Crafts & Sewing";"";"2"
"Bedding & Bath";"";"2"
"Furniture & D";"";"2"
"Kitchen & Dining";"";"2"
"Patio, Lawn & Garden";"";"2"
"Home & Garden";"Arts, Crafts & Sewing,Bedding & Bath,Furniture & D,Kitchen & Dining,Patio, Lawn & Garden";"3"
"Arts, Crafts & Sewing";"";"3"
"Bedding & Bath";"";"3"
"Furniture & D";"";"3"
"Kitchen & Dining";"";"3"
"Patio, Lawn & Garden";"";"3"
"Jewelry & Watches";"Engagement & Wedding,Fashion Jewelry,Fashion Jewelry,Fine Jewelry,Watches";"2"
"Engagement & Wedding";"";"2"
"Fashion Jewelry";"";"2"
"Fashion Jewelry";"";"2"
"Fine Jewelry";"";"2"
"Watches";"";"2"
